Sport,League,Match,Bet Type,Bet,Odds,Edge,Confidence,Stake,Info,Date_Generated,Result,Profit,Score
Soccer,soccer_spain_la_liga,Girona vs Real Madrid,Moneyline,Home Win,7.5,0.8577034545327578,0.24769379393770102,0.03796961137104661,Best: BetRivers,2025-11-27,,,
Soccer,soccer_spain_la_liga,Girona vs Real Madrid,Moneyline,Draw,5.25,0.43905166443259414,0.2741050789395417,0.02972617616864509,Best: DraftKings,2025-11-27,,,
Soccer,soccer_spain_la_liga,Rayo Vallecano vs Valencia,Moneyline,Away Win,4.4,0.5290026191560451,0.34750059526273747,0.04346257247373488,Best: BetRivers,2025-11-27,,,
Soccer,soccer_spain_la_liga,Villarreal vs Getafe,Moneyline,Away Win,6.4,0.34296643948358074,0.20983850616930946,0.017691465120746867,Best: BetRivers,2025-11-27,,,
Soccer,soccer_spain_la_liga,Alavés vs Real Sociedad,Moneyline,Away Win,2.88,0.28532137040317984,0.44629214250110416,0.042822516238252076,Best: BetRivers,2025-11-27,,,
Soccer,soccer_spain_la_liga,Real Betis vs Barcelona,Moneyline,Home Win,3.73,0.26630334675526024,0.3394915138754049,0.027622255900648193,Best: LowVig.ag,2025-11-27,,,
Soccer,soccer_spain_la_liga,Real Betis vs Barcelona,Moneyline,Draw,4.43,0.06551573673931887,0.24052273967027515,0.005408747108730876,Best: LowVig.ag,2025-11-27,,,
Soccer,soccer_spain_la_liga,Elche CF vs Girona,Moneyline,Away Win,3.55,0.9665566402536474,0.5539596169728584,0.10113754425710621,Best: BetRivers,2025-11-27,,,
Soccer,soccer_spain_la_liga,Espanyol vs Rayo Vallecano,Moneyline,Home Win,2.4,0.05642426952580082,0.4401767789690837,0.011233572445704642,Best: FanDuel,2025-11-27,,,
Soccer,soccer_spain_la_liga,Espanyol vs Rayo Vallecano,Moneyline,Draw,3.65,0.11467522997915691,0.3053904739668923,0.012061566804732039,Best: LowVig.ag,2025-11-27,,,
Soccer,soccer_spain_la_liga,Real Madrid vs Celta Vigo,Moneyline,Home Win,1.36,0.19768887820376047,0.8806535869145297,0.15682466232984715,Best: Bovada,2025-11-27,,,
Soccer,soccer_spain_la_liga,CA Osasuna vs Levante,Moneyline,Draw,3.55,0.06335685986949935,0.2995371436252111,0.006754930812868311,Best: LowVig.ag,2025-11-27,,,
Soccer,soccer_germany_bundesliga,Union Berlin vs 1. FC Heidenheim,Moneyline,Away Win,5.25,0.5122306630085742,0.288043935811157,0.033167226239724304,Best: BetRivers,2025-11-27,,,
Soccer,soccer_germany_bundesliga,TSG Hoffenheim vs Augsburg,Moneyline,Away Win,4.5,0.22999518207312786,0.2733322626829173,0.018445966312499406,Best: FanDuel,2025-11-27,,,
Soccer,soccer_germany_bundesliga,Bayern Munich vs FC St. Pauli,Moneyline,Draw,10.5,0.4460460252506462,0.1377186690714901,0.012703001765956219,Best: BetMGM,2025-11-27,,,
Soccer,soccer_germany_bundesliga,Bayern Munich vs FC St. Pauli,Moneyline,Away Win,30.0,0.24506631655749156,0.041502210551916385,0.002286314208806861,Best: LowVig.ag,2025-11-27,,,
Soccer,soccer_germany_bundesliga,Bayer Leverkusen vs Borussia Dortmund,Moneyline,Home Win,2.5,0.36889654525985716,0.5475586181039429,0.07104321700807341,Best: BetMGM,2025-11-27,,,
Soccer,soccer_germany_bundesliga,Eintracht Frankfurt vs VfL Wolfsburg,Moneyline,Draw,4.4,0.2411350754335595,0.28207615350762716,0.020677364082368057,Best: BetRivers,2025-11-27,,,
Soccer,soccer_germany_bundesliga,Eintracht Frankfurt vs VfL Wolfsburg,Moneyline,Away Win,4.9,0.36826226540429063,0.2792371970212838,0.02753000675271743,Best: BetRivers,2025-11-27,,,
Soccer,soccer_germany_bundesliga,1. FC Heidenheim vs SC Freiburg,Moneyline,Home Win,3.75,0.5575311929926499,0.41534165146470664,0.056041337335011716,Best: Bovada,2025-11-27,,,
Soccer,soccer_germany_bundesliga,1. FC Heidenheim vs SC Freiburg,Moneyline,Draw,3.6,0.11716520852883594,0.31032366903578773,0.012456537381259916,Best: BetMGM,2025-11-27,,,
Soccer,soccer_germany_bundesliga,Augsburg vs Bayer Leverkusen,Moneyline,Away Win,1.85,0.5418058328783881,0.8334085583126422,0.18876346726369736,Best: BetMGM,2025-11-27,,,
Soccer,soccer_germany_bundesliga,VfB Stuttgart vs Bayern Munich,Moneyline,Home Win,5.3,0.6161187150083145,0.30492805943553103,0.03828246423192657,Best: FanDuel,2025-11-27,,,
Soccer,soccer_germany_bundesliga,VfB Stuttgart vs Bayern Munich,Moneyline,Draw,5.15,0.3765722256153461,0.26729557778938756,0.024243991799865906,Best: Bovada,2025-11-27,,,
Soccer,soccer_germany_bundesliga,RB Leipzig vs Eintracht Frankfurt,Moneyline,Home Win,1.95,0.37780063790383656,0.7065644296942751,0.11714289527800341,Best: BetMGM,2025-11-27,,,
Soccer,soccer_germany_bundesliga,Borussia Dortmund vs TSG Hoffenheim,Moneyline,Home Win,1.59,0.2123700832336779,0.762496907694137,0.09842545855148682,Best: Bovada,2025-11-27,,,
Soccer,soccer_italy_serie_a,Juventus vs Cagliari,Moneyline,Draw,5.3,0.4064793391400494,0.26537346021510366,0.026577108025042907,Best: Bovada,2025-11-27,,,
Soccer,soccer_italy_serie_a,Juventus vs Cagliari,Moneyline,Away Win,10.5,0.5500028870262275,0.14761932257392643,0.016277176219966105,Best: BetRivers,2025-11-27,,,
Soccer,soccer_italy_serie_a,AC Milan vs Lazio,Moneyline,Draw,4.11,0.5156212659320196,0.3687642982802967,0.047286532737685065,Best: BetOnline.ag,2025-11-27,,,
Soccer,soccer_italy_serie_a,AC Milan vs Lazio,Moneyline,Away Win,5.75,0.23272633406591003,0.21438718853320174,0.01397394269219697,Best: BetMGM,2025-11-27,,,
Soccer,soccer_italy_serie_a,Lecce vs Torino,Moneyline,Away Win,2.65,0.2939957947886005,0.4883002999202266,0.04998164897518166,Best: FanDuel,2025-11-27,,,
Soccer,soccer_italy_serie_a,Atalanta BC vs Fiorentina,Moneyline,Away Win,4.8,0.34549752503141073,0.2803119843815439,0.025171489180675473,Best: FanDuel,2025-11-27,,,
Soccer,soccer_italy_serie_a,AS Roma vs Napoli,Moneyline,Away Win,3.22,0.055456835902360835,0.32778162605663375,0.0068002732827278,Best: LowVig.ag,2025-11-27,,,
Soccer,soccer_italy_serie_a,Sassuolo vs Fiorentina,Moneyline,Away Win,2.7,0.3517840767567919,0.5006607691691821,0.05563916565332762,Best: FanDuel,2025-11-27,,,
Soccer,soccer_italy_serie_a,Hellas Verona vs Atalanta BC,Moneyline,Home Win,4.6,0.2942834107676622,0.2813659588625353,0.022698928173779394,Best: BetRivers,2025-11-27,,,
Soccer,soccer_italy_serie_a,Cremonese vs Lecce,Moneyline,Home Win,2.7,0.1475445682136025,0.4250165067457787,0.024858068868347617,Best: FanDuel,2025-11-27,,,
Soccer,soccer_italy_serie_a,Lazio vs Bologna,Moneyline,Home Win,2.7,0.2737549699734265,0.4717610999901579,0.045506209458805555,Best: FanDuel,2025-11-27,,,
Soccer,soccer_italy_serie_a,Udinese vs Genoa,Moneyline,Home Win,2.46,0.07644599783371264,0.4375796739161434,0.014816812374110807,Best: Bovada,2025-11-27,,,
Soccer,soccer_france_ligue_one,Metz vs Rennes,Moneyline,Draw,3.8,0.0544813606670389,0.27749509491237867,0.005328325094327426,Best: BetRivers,2025-11-27,,,
Soccer,soccer_france_ligue_one,Metz vs Rennes,Moneyline,Away Win,2.0,0.1170866618818005,0.5585433309409003,0.032063300457566585,Best: DraftKings,2025-11-27,,,
